"stock","last price","percent","change","url"
"Investor B","408,10","-1,21 %","-5,00  SEK","https://www.avanza.se/aktier/om-aktien.html/5247/investor-b"
"Kinnevik B","288,00","-3,58 %","-10,70  SEK","https://www.avanza.se/aktier/om-aktien.html/5369/kinnevik-b"
