Date,Open,High,Low,Close,Adj Close,Volume
2016-06-09,481.10000599999995,481.10000599999995,474.0,474.60000599999995,451.27490199999994,589955
2016-06-10,475.39999400000005,475.799988,460.89999400000005,462.89999400000005,440.14987199999996,470260
2016-06-13,460.0,462.299988,456.200012,456.60000599999995,434.159546,323966
2016-06-14,455.0,455.5,447.5,448.5,426.45761100000004,523121
2016-06-15,453.39999400000005,461.299988,451.200012,458.89999400000005,436.346497,416230
2016-06-16,452.10000599999995,459.39999400000005,450.0,458.89999400000005,436.346497,564411
2016-06-17,460.5,465.10000599999995,456.799988,458.200012,435.68093899999997,484873
2016-06-20,467.5,476.5,467.5,472.799988,449.563324,669143
2016-06-21,471.0,476.39999400000005,469.299988,475.299988,451.940491,564627
2016-06-22,475.5,482.299988,472.89999400000005,480.299988,456.694733,408962
2016-06-23,479.89999400000005,483.0,471.700012,477.200012,453.74713099999997,528485
2016-06-27,464.799988,478.0,463.5,471.299988,448.13708499999996,1750501
2016-06-28,482.0,494.39999400000005,478.0,491.0,466.868866,895181
2016-06-29,494.5,506.5,493.0,506.5,481.60708600000004,742056
2016-06-30,504.5,506.5,495.10000599999995,506.0,481.131714,686531
2016-07-01,506.5,512.0,501.0,510.0,484.93508899999995,432095
2016-07-04,512.0,514.0,508.5,510.0,484.93508899999995,282231
2016-07-05,506.0,512.5,503.5,511.5,486.361389,410112
2016-07-06,509.0,511.0,506.0,509.0,483.984253,443653
2016-07-07,511.0,519.5,511.0,517.5,492.066467,395552
2016-07-08,516.5,519.0,506.5,518.0,492.541931,671089
2016-07-11,516.0,517.5,508.0,515.5,490.164764,523304
2016-07-12,516.0,518.0,505.5,510.5,485.41052199999996,433617
2016-07-13,514.5,520.0,512.5,513.0,487.78762800000004,495571
2016-07-14,513.0,520.0,511.0,511.5,486.361389,494059
2016-07-15,514.0,519.0,513.5,514.5,489.213959,548690
2016-07-18,515.0,523.0,515.0,520.5,494.919067,456595
2016-07-19,518.5,521.5,515.5,519.5,493.96820099999997,295839
2016-07-20,520.0,527.0,520.0,526.0,500.14877300000006,350821
2016-07-21,526.5,527.0,519.5,523.0,497.29617300000007,325326
2016-07-22,525.0,529.5,523.0,528.5,502.525909,576422
2016-07-25,530.5,538.0,530.5,534.5,508.23098799999997,692029
2016-07-26,535.0,537.5,532.0,534.0,507.75558499999994,289252
2016-07-27,536.5,542.0,533.5,540.0,513.460632,408253
2016-07-28,532.5,579.5,532.5,578.0,549.593079,1109095
2016-07-29,578.0,588.5,566.0,580.5,551.970276,638004
2016-08-01,576.0,584.5,571.0,580.0,551.494751,463803
2016-08-02,581.5,582.5,574.0,574.0,545.789673,261959
2016-08-03,575.5,578.5,569.5,576.5,548.16687,424249
2016-08-04,579.5,584.0,574.0,584.0,555.298218,342465
2016-08-05,581.5,622.5,574.0,592.0,562.905029,713512
2016-08-08,590.5,597.0,581.5,590.5,561.47876,321637
2016-08-09,586.0,588.0,578.0,583.0,554.347351,446354
2016-08-10,580.0,583.0,574.0,575.0,546.740601,316458
2016-08-11,572.0,574.0,566.5,570.0,549.4492190000001,418058
2016-08-12,572.5,573.0,563.5,565.5,545.11145,219200
2016-08-15,564.0,574.0,563.5,569.0,548.485229,346832
2016-08-16,565.5,567.5,560.0,565.5,545.11145,325394
2016-08-17,566.5,569.0,561.0,562.0,541.73761,229395
2016-08-18,564.0,565.0,558.0,561.0,540.773743,260676
2016-08-19,560.5,565.5,559.0,560.0,539.809692,220782
2016-08-22,560.5,568.5,559.5,566.0,545.593445,318332
2016-08-23,569.5,570.0,564.0,566.5,546.075439,190247
2016-08-24,565.5,578.0,560.5,571.0,550.413147,424543
2016-08-25,563.0,565.5,553.5,562.5,542.219666,363715
2016-08-26,562.5,562.5,555.0,559.0,538.845825,221215
2016-08-29,559.0,564.0,556.0,562.5,542.219666,165070
2016-08-30,562.5,568.0,559.5,567.5,547.039307,151317
2016-08-31,567.0,567.0,559.0,561.5,541.255676,272302
2016-09-01,563.5,566.0,554.5,556.5,536.435913,272436
2016-09-02,559.5,573.5,557.0,573.5,552.823059,337657
2016-09-05,575.0,575.0,566.0,567.5,547.039307,246181
2016-09-06,571.0,571.0,562.5,563.5,543.183533,636868
2016-09-07,564.5,565.0,556.0,556.5,536.435913,429423
2016-09-08,560.0,561.0,549.0,554.0,534.026062,428106
2016-09-09,555.5,556.0,550.0,551.0,531.134277,199441
2016-09-12,547.5,557.5,546.5,557.0,536.9179690000001,271705
2016-09-13,558.0,563.5,554.5,554.5,534.508057,309336
2016-09-14,556.5,563.5,556.5,561.5,541.255676,242813
2016-09-15,561.5,567.0,557.5,567.0,546.5573730000001,155201
2016-09-16,567.0,584.0,562.5,579.0,558.1247559999999,497846
2016-09-19,580.0,582.5,573.0,575.0,554.268982,285388
2016-09-20,575.0,583.0,574.5,576.5,555.7149049999999,351958
2016-09-21,580.0,580.5,572.0,573.5,552.823059,187256
2016-09-22,578.0,585.0,574.0,583.5,562.462463,302655
2016-09-23,582.0,583.0,575.0,581.5,560.534546,372467
2016-09-26,579.0,579.0,572.5,573.0,552.341064,217140
2016-09-27,575.5,577.0,567.0,575.0,554.268982,281182
2016-09-28,576.5,584.5,575.0,580.0,559.0886230000001,196859
2016-09-29,580.5,580.5,565.0,566.5,546.075439,356026
2016-09-30,565.5,567.5,560.5,567.0,546.5573730000001,287533
2016-10-03,566.5,568.0,559.0,563.0,542.701599,229454
2016-10-04,560.0,571.5,556.0,562.0,541.73761,491449
2016-10-05,559.0,562.5,553.5,560.5,540.291687,377194
2016-10-06,560.0,561.5,555.0,557.5,537.399902,306390
2016-10-07,554.0,555.0,548.0,555.0,534.990051,462559
2016-10-10,553.5,556.5,552.0,556.5,536.435913,245394
2016-10-11,554.0,555.5,551.0,552.5,532.5801389999999,322731
2016-10-12,553.0,555.0,542.5,542.5,522.940735,812685
2016-10-13,542.0,544.0,534.5,541.0,521.494812,454374
2016-10-14,543.5,543.5,538.5,541.0,521.494812,286775
2016-10-17,540.0,548.0,531.0,542.5,522.940735,596536
2016-10-18,544.0,554.0,543.0,551.5,531.616211,532316
2016-10-19,551.5,552.0,544.0,546.5,526.796509,234866
2016-10-20,544.0,551.0,541.5,548.5,528.724365,363669
2016-10-21,549.0,550.5,545.5,547.0,527.278503,247729
2016-10-24,546.0,548.5,534.5,537.0,517.638916,351868
2016-10-25,536.5,538.5,527.5,530.5,511.373383,791342
2016-10-26,531.0,532.0,523.0,528.5,509.445496,332400
2016-10-27,527.0,541.0,506.0,519.0,500.287994,930571
2016-10-28,514.5,517.5,507.0,514.5,495.95025599999997,694401
2016-10-31,516.5,517.5,511.0,512.5,494.022308,361530
2016-11-01,512.0,513.5,500.0,501.5,483.418945,554270
2016-11-02,500.5,512.5,500.5,503.0,484.86483799999996,495330
2016-11-03,502.5,506.5,499.200012,500.5,482.454956,365911
2016-11-04,500.5,501.0,493.60000599999995,499.89999400000005,481.876617,322338
2016-11-07,503.5,504.0,495.39999400000005,503.0,484.86483799999996,384880
2016-11-08,504.0,506.5,502.0,504.5,486.31075999999996,231830
2016-11-09,503.5,528.0,503.5,521.5,502.69787599999995,1087663
2016-11-10,526.5,528.5,494.10000599999995,509.5,491.13046299999996,1139472
2016-11-11,506.0,506.0,498.60000599999995,503.0,484.86483799999996,555437
2016-11-14,508.0,513.5,500.5,505.0,486.792725,549389
2016-11-15,504.5,506.0,499.89999400000005,504.5,486.31075999999996,363272
2016-11-16,504.5,508.0,500.5,505.0,486.792725,521160
2016-11-17,504.0,506.0,501.0,505.0,486.792725,361759
2016-11-18,508.0,509.0,498.60000599999995,501.5,483.418945,598912
2016-11-21,501.5,504.5,497.0,503.0,484.86483799999996,344100
2016-11-22,509.5,512.0,490.60000599999995,490.89999400000005,473.20108,1036648
2016-11-23,492.299988,492.299988,480.5,486.700012,469.152557,1065884
2016-11-24,488.200012,492.0,484.200012,490.60000599999995,472.911926,441071
2016-11-25,493.39999400000005,502.5,492.60000599999995,500.0,481.97302199999996,659326
2016-11-28,499.299988,499.39999400000005,491.799988,493.39999400000005,475.61093099999994,620116
2016-11-29,493.5,497.200012,490.200012,495.60000599999995,477.731659,561367
2016-11-30,493.39999400000005,494.799988,486.200012,486.200012,468.67053200000004,831073
2016-12-01,484.10000599999995,486.299988,478.5,482.10000599999995,464.71835300000004,930761
2016-12-02,479.700012,481.60000599999995,471.89999400000005,479.60000599999995,462.308533,823514
2016-12-05,479.0,484.299988,474.799988,477.10000599999995,459.898651,514536
2016-12-06,476.60000599999995,480.299988,472.10000599999995,475.60000599999995,458.45272800000004,732574
2016-12-07,477.200012,482.700012,465.700012,466.89999400000005,450.066376,875993
2016-12-08,468.39999400000005,480.39999400000005,466.299988,479.60000599999995,462.308533,816876
2016-12-09,485.799988,517.0,481.700012,502.0,483.900909,2028257
2016-12-12,501.0,502.0,490.89999400000005,496.5,478.59918200000004,839439
2016-12-13,494.299988,507.5,492.89999400000005,507.0,488.720642,450427
2016-12-14,508.0,510.5,504.0,507.0,488.720642,523138
2016-12-15,508.5,520.5,508.5,519.5,500.76995800000003,770490
2016-12-16,521.0,528.5,520.5,522.0,503.179779,851730
2016-12-19,522.5,523.5,507.0,510.0,491.612488,706722
2016-12-20,509.0,512.5,507.0,508.0,489.68457,470513
2016-12-21,508.0,508.0,497.700012,499.200012,481.201813,541585
2016-12-22,499.200012,502.0,496.700012,498.60000599999995,480.62350499999997,324568
2016-12-23,501.5,506.5,497.10000599999995,503.0,484.86483799999996,304167
2016-12-27,506.5,507.5,503.5,505.0,486.792725,198672
2016-12-28,497.5,508.5,497.0,504.5,486.31075999999996,274887
2016-12-29,503.0,503.5,497.60000599999995,501.0,482.93695099999997,269258
2016-12-30,500.0,502.0,495.10000599999995,497.10000599999995,479.177551,395749
2017-01-02,499.5,503.5,497.0,501.5,483.418945,274496
2017-01-03,503.5,509.0,501.5,505.0,486.792725,367538
2017-01-04,508.0,511.5,506.0,508.0,489.68457,336383
2017-01-05,508.5,514.0,507.0,512.0,493.54034400000006,170130
